OBJECTID,L0Continuum_of_Care_Grantee_Are,COCNUM,COCCAT,TOT_18,SH_ES_18,SH_TH_18,SH_SH_18,SH_TOT_18,UNSH_TOT_18,IND_TOT_18,SH_ES_IND_18,SH_TH_IND_18,SH_SH_IND_18,SH_TOT_IND_18,UNSH_IND_18,PFAM_TOT_18,SH_ES_PFAM_18,SH_TH_PFAM_18,SH_TOT_PFAM_18,UNSH_PFAM_18,FAM_TOT_18,SH_ES_FAM_18,SH_TH_FAM_18,SH_TOT_FAM_18,UNSH_FAM_18,CH_TOT_18,SH_ES_CH_18,SH_SH_CH_18,SH_TOT_CH_18,UNSH_CH_18,CH_IND_TOT_18,SH_ES_CH_IND_18,SH_SH_CH_IND_18,SH_TOT_CH_IND_18,UNSH_CH_IND_18,CH_PFAM_TOT_18,SH_ES_CH_PFAM_18,SH_TOT_CH_PFAM_18,UNSH_CH_PFAM_18,VETS_TOT_18,SH_ES_VETS_18,SH_TH_VETS_18,SH_SH_VETS_18,SH_TOT_VETS_18,UNSH_VETS_18,UY_TOT_18,SH_ES_UY_18,SH_TH_UY_18,SH_SH_UY_18,SH_TOT_UY_18,UNSH_UY_18,UYLT18_TOT_18,SH_ES_UYLT18_18,SH_TH_UYLT18_18,SH_SH_UYLT18_18,SH_TOT_UYLT18_18,UNSH_UYLT18_18,UY1824_TOT_18,SH_ES_UY1824_18,SH_TH_UY1824_18,SH_SH_UY1824_18,SH_TOT_UY1824_18,UNSH_UY1824_18,PY_TOT_18,SH_ES_PY_18,SH_TH_PY_18,SH_TOT_PY_18,UNSH_PY_18,PYLT18_TOT_18,SH_ES_PYLT18_18,SH_TH_PYLT18_18,SH_TOT_PYLT18_18,UNSH_PYLT18_18,PY1824_TOT_18,SH_ES_PY1824_18,SH_TH_PY1824_18,SH_TOT_PY1824_18,UNSH_PY1824_18,CPY_TOT_18,SH_ES_CPY_18,SH_TH_CPY_18,SH_TOT_CPY_18,UNSH_CPY_18,TOT_13,SH_ES_13,SH_TH_13,SH_SH_13,SH_TOT_13,UNSH_TOT_13,IND_TOT_13,SH_ES_IND_13,SH_TH_IND_13,SH_SH_IND_13,SH_TOT_IND_13,UNSH_IND_13,PFAM_TOT_13,SH_ES_PFAM_13,SH_TH_PFAM_13,SH_TOT_PFAM_13,UNSH_PFAM_13,FAM_TOT_13,SH_ES_FAM_13,SH_TH_FAM_13,SH_TOT_FAM_13,UNSH_FAM_13,CH_TOT_13,SH_ES_CH_13,SH_SH_CH_13,SH_TOT_CH_13,UNSH_CH_13,CH_IND_TOT_13,SH_ES_CH_IND_13,SH_SH_CH_IND_13,SH_TOT_CH_IND_13,UNSH_CH_IND_13,CH_PFAM_TOT_13,SH_ES_CH_PFAM_13,SH_TOT_CH_PFAM_13,UNSH_CH_PFAM_13,VETS_TOT_13,SH_TOT_VETS_13,UNSH_VETS_13,TOT_08,SH_ES_08,SH_TH_08,SH_SH_08,SH_TOT_08,UNSH_TOT_08,IND_TOT_08,SH_ES_IND_08,SH_TH_IND_08,SH_SH_IND_08,SH_TOT_IND_08,UNSH_IND_08,PFAM_TOT_08,SH_ES_PFAM_08,SH_TH_PFAM_08,SH_TOT_PFAM_08,UNSH_PFAM_08,FAM_TOT_08,SH_ES_FAM_08,SH_TH_FAM_08,SH_TOT_FAM_08,UNSH_FAM_08,CH_IND_TOT_08,SH_TOT_CH_IND_08,UNSH_CH_IND_08,Merger_flag,COCNAME,SHAPE_Length,SHAPE_Area
1,"Aurora, Elgin/Kane County CoC",IL-517,Suburban CoCs,430,337,68,0,405,25,318,280,13,0,293,25,112,57,55,112,0,32,19,13,32,0,145,130,0,130,15,123,108,0,108,15,22,22,22,0,22,20,2,0,22,0,22,21,1,0,22,0,1,1,0,0,1,0,21,20,1,0,21,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,3,2,5,0,451,285,120,0,405,46,344,248,50,0,298,46,107,37,70,107,0,32,13,19,32,0,109,88,0,88,21,103,82,0,82,21,6,6,6,0,37,31,6,474,275,143,0,418,56,356,224,76,0,300,56,118,51,67,118,0,36,16,20,36,0,245,212,33,0,"Aurora, Elgin/Kane County CoC",2.76296867116531,0.154213116430706
2,Southern Illinois CoC,IL-520,Rural CoCs,282,156,78,0,234,48,144,79,27,0,106,38,138,77,51,128,10,55,28,24,52,3,31,16,0,16,15,25,10,0,10,15,6,6,6,0,11,1,4,0,5,6,22,11,5,0,16,6,1,1,0,0,1,0,21,10,5,0,15,6,10,7,3,10,0,0,0,0,0,0,10,7,3,10,0,12,8,4,12,0,338,159,104,0,263,75,160,81,40,0,121,39,178,78,64,142,36,59,28,21,49,10,35,11,0,11,24,22,7,0,7,15,13,4,4,9,23,20,3,870,562,234,0,796,74,416,276,82,0,358,58,454,286,152,438,16,123,83,34,117,6,159,113,46,0,Southern Illinois CoC,12.6751326785504,2.95502622060299
3,Wichita/Sedgwick County CoC,KS-502,Major Cities,573,393,118,4,515,58,421,292,67,4,363,58,152,101,51,152,0,45,29,16,45,0,33,17,3,20,13,33,17,3,20,13,0,0,0,0,58,47,7,0,54,4,48,30,13,0,43,5,4,0,4,0,4,0,44,30,9,0,39,5,7,5,2,7,0,0,0,0,0,0,7,5,2,7,0,12,10,2,12,0,538,321,137,9,467,71,360,241,39,9,289,71,178,80,98,178,0,49,21,28,49,0,91,62,5,67,24,91,62,5,67,24,0,0,0,0,56,48,8,473,331,114,0,445,28,342,270,47,0,317,25,131,61,67,128,3,46,22,23,45,1,93,85,8,0,Wichita/Sedgwick County CoC,2.19152455781483,0.266963908571989
4,Kansas Balance of State CoC,KS-507,Rural CoCs,918,499,258,0,757,161,581,343,77,0,420,161,337,156,181,337,0,91,44,47,91,0,82,56,0,56,26,78,52,0,52,26,4,4,4,0,58,52,0,0,52,6,54,37,6,0,43,11,3,3,0,0,3,0,51,34,6,0,40,11,9,4,5,9,0,0,0,0,0,0,9,4,5,9,0,16,5,11,16,0,1141,537,522,0,1059,82,645,288,280,0,568,77,496,249,242,491,5,182,88,92,180,2,129,91,0,91,38,100,62,0,62,38,29,29,29,0,231,221,10,524,238,245,0,483,41,373,145,190,0,335,38,151,93,55,148,3,45,28,16,44,1,18,12,6,1,Kansas Balance of State CoC,26.0850690220943,21.4163681049409
5,Lafayette/Acadiana Regional CoC,LA-500,Rural CoCs,363,120,70,0,190,173,284,74,39,0,113,171,79,46,31,77,2,24,15,8,23,1,64,18,0,18,46,61,15,0,15,46,3,3,3,0,26,9,11,0,20,6,14,5,2,0,7,7,0,0,0,0,0,0,14,5,2,0,7,7,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0,542,165,268,0,433,109,358,120,129,0,249,109,184,45,139,184,0,58,14,44,58,0,83,31,0,31,52,71,31,0,31,40,12,0,0,12,62,47,15,631,159,298,0,457,174,305,70,144,0,214,91,326,89,154,243,83,104,26,53,79,25,47,16,31,0,Lafayette/Acadiana Regional CoC,12.463945361841,1.44965469775031
6,Slidell/Southeast Louisiana CoC,LA-506,Suburban CoCs,194,34,101,0,135,59,174,19,101,0,120,54,20,15,0,15,5,7,5,0,5,2,25,2,0,2,23,25,2,0,2,23,0,0,0,0,42,1,34,0,35,7,10,1,6,0,7,3,0,0,0,0,0,0,10,1,6,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,86,155,0,241,35,151,60,62,0,122,29,125,26,93,119,6,35,8,25,33,2,31,25,0,25,6,31,25,0,25,6,0,0,0,0,49,47,2,522,98,112,0,210,312,241,40,34,0,74,167,281,58,78,136,145,91,21,24,45,46,44,10,34,0,Slidell/Southeast Louisiana CoC,6.24623555867974,0.904732302929542
7,Alexandria/Central Louisiana CoC,LA-507,Rural CoCs,177,70,54,0,124,53,152,63,36,0,99,53,25,7,18,25,0,9,3,6,9,0,28,10,0,10,18,28,10,0,10,18,0,0,0,0,26,21,3,0,24,2,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,1,2,3,0,118,38,49,0,87,31,92,38,25,0,63,29,26,0,24,24,2,7,0,6,6,1,9,3,0,3,6,7,3,0,3,4,2,0,0,2,24,22,2,128,47,46,0,93,35,92,40,22,0,62,30,36,7,24,31,5,15,2,11,13,2,25,7,18,0,Alexandria/Central Louisiana CoC,9.57937509278959,1.8030788425532
8,Boston CoC,MA-500,Major Cities,6188,5427,566,32,6025,163,2535,1892,448,32,2372,163,3653,3535,118,3653,0,1121,1075,46,1121,0,724,690,5,695,29,504,470,5,475,29,220,220,220,0,275,93,157,18,268,7,151,106,37,0,143,8,0,0,0,0,0,0,151,106,37,0,143,8,194,190,4,194,0,19,17,2,19,0,175,173,2,175,0,376,372,4,376,0,5881,4334,1338,16,5688,193,2541,1377,955,16,2348,193,3340,2957,383,3340,0,1164,992,172,1164,0,543,491,3,494,49,465,413,3,416,49,78,78,78,0,458,446,12,5198,3275,1739,0,5014,184,2683,1368,1131,0,2499,184,2515,1907,608,2515,0,885,647,238,885,0,915,834,81,0,Boston CoC,1.8686968610428,0.0140256728506342
9,Lincoln CoC,NE-502,Other Urban CoCs,451,344,62,0,406,45,296,216,37,0,253,43,155,128,25,153,2,54,41,12,53,1,73,48,0,48,25,69,46,0,46,23,4,2,2,2,16,15,1,0,16,0,28,20,7,0,27,1,6,4,2,0,6,0,22,16,5,0,21,1,11,5,6,11,0,0,0,0,0,0,11,5,6,11,0,17,11,6,17,0,956,349,504,0,853,103,599,220,276,0,496,103,357,129,228,357,0,108,38,70,108,0,129,86,0,86,43,114,71,0,71,43,15,15,15,0,67,52,15,1151,428,437,0,865,286,708,267,244,0,511,197,443,161,193,354,89,179,42,69,111,68,79,74,5,0,Lincoln CoC,1.95227515540024,0.0263080851540076
10,Anchorage CoC,AK-500,Other Urban CoCs,1094,751,249,0,1000,94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177,150,0,150,27,163,136,0,136,27,14,14,14,0,62,50,8,0,58,4,97,55,39,0,94,3,5,5,0,0,5,0,92,50,39,0,89,3,15,6,9,15,0,1,0,1,1,0,14,6,8,14,0,14,5,9,14,0,1122,676,394,0,1070,52,844,553,239,0,792,52,278,123,155,278,0,87,38,49,87,0,89,68,0,68,21,83,62,0,62,21,6,6,6,0,144,138,6,1023,535,386,0,921,102,695,357,239,0,596,99,328,178,147,325,3,84,42,41,83,1,300,239,61,0,Anchorage CoC,5.06020966427563,0.748158041463637
